"metric_cn","metric_en","category_en","day","mean_treatment","mean_control","diff","hedges_g","ci_low","ci_high","p_value"
"毳毛比例","Vellus hair ratio","Hair-growth endpoints",30,0.212175454521391,0.841521369912373,-0.629345915390982,-0.466056404099946,-0.917427743036566,-0.014685065163325,0.0436741944063701
"覆盖率","Coverage index","Hair-growth endpoints",30,0.474826122027537,0.266518911311993,0.208307210715544,1.0393540958524,0.56381437922833,1.51489381247646,1.97455172019852e-05
"毛发密度","Hair density","Hair-growth endpoints",30,5.32482135549879,2.59508071856742,2.72974063693137,0.18187109302791,-0.264174453576124,0.627916639631944,0.425808224157368
"毛发直径","Hair shaft diameter","Hair-growth endpoints",30,2.1256851872325,1.00296473566342,1.12272045156907,0.261789346711817,-0.185286672713519,0.708865366137154,0.252869844489528
"头皮血流","Scalp blood flow","Scalp microenvironment",30,77.7971905334264,23.107356858658,54.6898336747684,3.32460289320995,2.62818514286692,4.02102064355298,3.44752286956952e-22
"头皮硬度","Scalp stiffness","Scalp microenvironment",30,3.97814640672413,0.585492888050353,3.39265351867378,1.39843726697457,0.89957878560339,1.89729574834576,4.6915722900337e-08
"油脂分泌","Sebum secretion","Scalp microenvironment",30,52.8888406587802,7.81257997992415,45.0762606788561,3.58433192534588,2.8552394689968,4.31342438169496,4.35879115933062e-25
"终毛比例","Terminal hair ratio","Hair-growth endpoints",30,2.69098954853022,1.419340910536,1.27164863799422,0.3928688128848,-0.0566913884673376,0.842429014236938,0.0878098522320787
"毳毛比例","Vellus hair ratio","Hair-growth endpoints",90,1.82225554210734,4.30306374940181,-2.48080820729447,-1.08866221981624,-1.56705706242862,-0.610267377203861,9.52109722016944e-06
"覆盖率","Coverage index","Hair-growth endpoints",90,1.35516083026682,1.11952219502679,0.23563863524003,0.584467691080622,0.129533686987388,1.03940169517386,0.0121685984809806
"毛发密度","Hair density","Hair-growth endpoints",90,27.1205894923695,15.6075036554285,11.513085836941,0.683546391795427,0.225042326189562,1.14205045740129,0.00372017554230922
"毛发直径","Hair shaft diameter","Hair-growth endpoints",90,9.01190842970217,6.38576789861255,2.62614053108962,0.393048975689485,-0.0565153133046554,0.842613264683625,0.0876441645710827
"头皮血流","Scalp blood flow","Scalp microenvironment",90,146.09946517084,28.8906112052626,117.208853965577,4.34938593083629,3.51924972294921,5.17952213872338,6.328598343986e-28
"头皮硬度","Scalp stiffness","Scalp microenvironment",90,8.6009407527654,-0.507141959047084,9.10808271181248,3.73197080188706,2.9838975846066,4.48004401916752,3.19457739719143e-26
"油脂分泌","Sebum secretion","Scalp microenvironment",90,49.9920036778742,9.90465200785105,40.0873516700232,3.13463905241032,2.46147624833051,3.80780185649012,5.44990473557344e-22
"终毛比例","Terminal hair ratio","Hair-growth endpoints",90,12.5038755348194,7.71092888581962,4.79294664899974,1.18162839540749,0.69754155955629,1.6657152312587,1.75094354356934e-06
"毳毛比例","Vellus hair ratio","Hair-growth endpoints",180,3.42440599542818,4.14828898483809,-0.723882989409914,-0.262904776923244,-0.70999778580203,0.184188231955542,0.251224472244171
"覆盖率","Coverage index","Hair-growth endpoints",180,1.18295476223909,1.00951184171089,0.173442920528199,0.429507764051558,-0.0209214513344699,0.879936979437586,0.0625600850248756
"毛发密度","Hair density","Hair-growth endpoints",180,25.5174067471894,13.0742984898991,12.4431082572903,0.550618303996213,0.0967817271594257,1.004454880833,0.017761077958367
"毛发直径","Hair shaft diameter","Hair-growth endpoints",180,9.541305356047,6.01094790011544,3.53035745593156,0.50374608218056,0.0513249894611744,0.956167174899945,0.0303984241807265
"头皮血流","Scalp blood flow","Scalp microenvironment",180,128.786346887755,24.7996596144818,103.986687273274,4.03178834403509,3.24436636603326,4.81921032203692,7.98404550480114e-26
"头皮硬度","Scalp stiffness","Scalp microenvironment",180,6.78241712894032,-0.318988385020253,7.10140551396058,2.73961468429737,2.11278440586584,3.3664449627289,4.87392065302374e-19
"油脂分泌","Sebum secretion","Scalp microenvironment",180,18.7942064890104,3.60555142585097,15.1886550631594,0.904168381038904,0.435854132583291,1.37248262949452,0.000159147246457551
"终毛比例","Terminal hair ratio","Hair-growth endpoints",180,15.0106939261476,9.22095442981065,5.7897394963369,1.26970990511108,0.779868517819259,1.75955129240289,3.59998658823412e-07
