"group","metric_cn","metric_en","day","mean","sem","n"
"Treatment","头皮硬度","Scalp stiffness",0,23.4931575006052,0.891019809165962,38
"Treatment","头皮硬度","Scalp stiffness",14,20.785528460871,0.714009183842501,38
"Treatment","头皮硬度","Scalp stiffness",30,19.5150110938811,0.517158679335105,38
"Treatment","头皮硬度","Scalp stiffness",60,14.2185464464138,0.486556557945339,38
"Treatment","头皮硬度","Scalp stiffness",90,14.8922167478398,0.793054838456208,38
"Treatment","头皮硬度","Scalp stiffness",180,16.7107403716649,0.764101382906681,38
"Treatment","头皮血流","Scalp blood flow",0,163.708924215282,6.40755714740748,38
"Treatment","头皮血流","Scalp blood flow",14,189.288810231923,6.10073495748088,38
"Treatment","头皮血流","Scalp blood flow",30,241.506114748708,6.98840948204495,38
"Treatment","头皮血流","Scalp blood flow",60,278.231136560262,8.98739782261343,38
"Treatment","头皮血流","Scalp blood flow",90,309.808389386122,9.52118938499049,38
"Treatment","头皮血流","Scalp blood flow",180,292.495271103037,8.58141181511579,38
"Treatment","毛发密度","Hair density",0,145.187360520738,6.94264976224421,38
"Treatment","毛发密度","Hair density",14,146.798163260681,7.47811016913386,38
"Treatment","毛发密度","Hair density",30,150.512181876237,8.32299329985165,38
"Treatment","毛发密度","Hair density",60,162.894626134236,6.55413629206417,38
"Treatment","毛发密度","Hair density",90,172.307950013107,7.55841223619991,38
"Treatment","毛发密度","Hair density",180,170.704767267927,9.55585903511938,38
"Treatment","毛发直径","Hair shaft diameter",0,56.7792428020874,2.19348632963239,38
"Treatment","毛发直径","Hair shaft diameter",14,57.3403076932291,2.10836975046021,38
"Treatment","毛发直径","Hair shaft diameter",30,58.9049279893199,2.02865795659297,38
"Treatment","毛发直径","Hair shaft diameter",60,61.5055313374797,2.23910371295486,38
"Treatment","毛发直径","Hair shaft diameter",90,65.7911512317896,2.91696039295687,38
"Treatment","毛发直径","Hair shaft diameter",180,66.3205481581344,1.71339458997131,38
"Treatment","毳毛比例","Vellus hair ratio",0,14.31977742395,0.944088695937985,38
"Treatment","毳毛比例","Vellus hair ratio",14,13.8958393668939,1.10111511533108,38
"Treatment","毳毛比例","Vellus hair ratio",30,14.1076019694287,0.810934856763342,38
"Treatment","毳毛比例","Vellus hair ratio",60,13.8059944636847,0.679774439480892,38
"Treatment","毳毛比例","Vellus hair ratio",90,12.4975218818427,0.567815130342939,38
"Treatment","毳毛比例","Vellus hair ratio",180,10.8953714285219,0.456517137897565,38
"Treatment","油脂分泌","Sebum secretion",0,148.594117341318,2.95160395013251,38
"Treatment","油脂分泌","Sebum secretion",14,112.400205025713,2.56294986710041,38
"Treatment","油脂分泌","Sebum secretion",30,95.7052766825377,2.19000151529562,38
"Treatment","油脂分泌","Sebum secretion",60,90.3004026522761,2.93551564986256,38
"Treatment","油脂分泌","Sebum secretion",90,98.6021136634437,2.53144038715712,38
"Treatment","油脂分泌","Sebum secretion",180,129.799910852308,3.57036054314248,38
"Treatment","终毛比例","Terminal hair ratio",0,43.7974479162567,1.37879352173453,38
"Treatment","终毛比例","Terminal hair ratio",14,44.2028312678947,1.33029238040161,38
"Treatment","终毛比例","Terminal hair ratio",30,46.4884374647869,1.26435486584165,38
"Treatment","终毛比例","Terminal hair ratio",60,50.1921267462718,1.1839040341655,38
"Treatment","终毛比例","Terminal hair ratio",90,56.301323451076,1.42556874961992,38
"Treatment","终毛比例","Terminal hair ratio",180,58.8081418424042,1.54098688798423,38
"Treatment","覆盖率","Coverage index",0,0.545204535364738,0.0581982944087656,38
"Treatment","覆盖率","Coverage index",14,0.672367551720948,0.0574911600995673,38
"Treatment","覆盖率","Coverage index",30,1.02003065739228,0.065648460255348,38
"Treatment","覆盖率","Coverage index",60,1.61868223455112,0.0711476756558153,38
"Treatment","覆盖率","Coverage index",90,1.90036536563156,0.0751994547765295,38
"Treatment","覆盖率","Coverage index",180,1.72815929760382,0.06810394404019,38
"Control","头皮硬度","Scalp stiffness",0,23.7889078543524,0.873832697910516,38
"Control","头皮硬度","Scalp stiffness",14,24.6155540952856,0.961129782688956,38
"Control","头皮硬度","Scalp stiffness",30,23.203414966302,0.728534247058429,38
"Control","头皮硬度","Scalp stiffness",60,23.7076000818266,0.811123354302955,38
"Control","头皮硬度","Scalp stiffness",90,24.2960498133994,0.7784053951891,38
"Control","头皮硬度","Scalp stiffness",180,24.1078962393726,0.845772687763813,38
"Control","头皮血流","Scalp blood flow",0,163.699213715796,6.43926352784543,38
"Control","头皮血流","Scalp blood flow",14,172.902757348158,6.18153956812096,38
"Control","头皮血流","Scalp blood flow",30,186.806570574454,6.5703394745521,38
"Control","头皮血流","Scalp blood flow",60,183.297079420498,7.86818393019598,38
"Control","头皮血流","Scalp blood flow",90,192.589824921059,8.14340717963466,38
"Control","头皮血流","Scalp blood flow",180,188.498873330278,7.72034694950737,38
"Control","毛发密度","Hair density",0,145.205654125942,6.94167752424416,38
"Control","毛发密度","Hair density",14,145.501245031331,7.02555626130788,38
"Control","毛发密度","Hair density",30,147.80073484451,7.24891195962039,38
"Control","毛发密度","Hair density",60,154.503810271333,6.73269335321637,38
"Control","毛发密度","Hair density",90,160.813157781371,7.39490954243275,38
"Control","毛发密度","Hair density",180,158.279952615841,7.81461357042848,38
"Control","毛发直径","Hair shaft diameter",0,56.7995339191682,2.18883368851233,38
"Control","毛发直径","Hair shaft diameter",14,56.8823415215298,2.14295602156316,38
"Control","毛发直径","Hair shaft diameter",30,57.8024986548316,2.07601653677614,38
"Control","毛发直径","Hair shaft diameter",60,59.7981047062901,2.19165216184562,38
"Control","毛发直径","Hair shaft diameter",90,63.1853018177808,2.28858875981738,38
"Control","毛发直径","Hair shaft diameter",180,62.8104818192837,2.80642766917861,38
"Control","毳毛比例","Vellus hair ratio",0,14.3362478841777,0.897753640929054,38
"Control","毳毛比例","Vellus hair ratio",14,13.9972145099344,0.84064297641385,38
"Control","毳毛比例","Vellus hair ratio",30,13.4947265142653,0.844592933309,38
"Control","毳毛比例","Vellus hair ratio",60,11.7742310497709,0.665943979468391,38
"Control","毳毛比例","Vellus hair ratio",90,10.0331841347758,0.711030861868081,38
"Control","毳毛比例","Vellus hair ratio",180,10.1879588993396,0.631725387576807,38
"Control","油脂分泌","Sebum secretion",0,148.605572110793,2.95194820232766,38
"Control","油脂分泌","Sebum secretion",14,135.198951820549,2.75773369611383,38
"Control","油脂分泌","Sebum secretion",30,140.792992130869,2.74303518287376,38
"Control","油脂分泌","Sebum secretion",60,143.492159652844,2.8396707476855,38
"Control","油脂分泌","Sebum secretion",90,138.700920102942,2.74029214336976,38
"Control","油脂分泌","Sebum secretion",180,145.000020684942,3.26016067850654,38
"Control","终毛比例","Terminal hair ratio",0,43.7836247762391,1.38049948667106,38
"Control","终毛比例","Terminal hair ratio",14,44.0028194400402,1.34485593648455,38
"Control","终毛比例","Terminal hair ratio",30,45.2029656867751,1.3133101618875,38
"Control","终毛比例","Terminal hair ratio",60,48.0031627687161,1.18333820520565,38
"Control","终毛比例","Terminal hair ratio",90,51.4945536620587,1.37828658272557,38
"Control","终毛比例","Terminal hair ratio",180,53.0045792060497,1.52275485507254,38
"Control","覆盖率","Coverage index",0,0.547059427837268,0.0531167325328761,38
"Control","覆盖率","Coverage index",14,0.59282169343381,0.0552861866313168,38
