"metric_cn","metric_en","category_en","day","visit","mean_treatment","mean_control","diff","hedges_g","ci_low","ci_high","p_value"
"毛发密度","Hair density","Hair-growth endpoints",0,"T0",145.187360520738,145.205654125942,-0.0182936052045193,-0.00042312968200759,-0.445505212220656,0.444658952856641,"0.7513"
"毛发直径","Hair shaft diameter","Hair-growth endpoints",0,"T0",56.7792428020874,56.7995339191682,-0.0202911170807809,-0.00148696469153097,-0.44656910648305,0.443595177099988,"0.9988"
"头皮血流","Scalp blood flow","Scalp microenvironment",0,"T0",163.708924215282,163.699213715796,0.00971049948586256,0.000242741268858984,-0.444839337767282,0.445324820305,"0.9994"
"头皮硬度","Scalp stiffness","Scalp microenvironment",0,"T0",-23.4931575006052,-23.7889078543524,0.29575035374717,0.0538140027044703,-0.391352511016636,0.498980516425577,"0.8133"
"油脂分泌","Sebum secretion","Scalp microenvironment",0,"T0",-148.594117341318,-148.605572110793,0.0114547694749092,0.000623120416933001,-0.444458968223062,0.445705209056928,"0.9999"
"毛发密度","Hair density","Hair-growth endpoints",30,"T1",150.512181876237,147.80073484451,2.71144703172683,0.0557863244199031,-0.389386491389388,0.500959140229194,"0.5609"
"毛发直径","Hair shaft diameter","Hair-growth endpoints",30,"T1",58.9049279893199,57.8024986548316,1.10242933448829,0.0862466363698943,-0.359052290672368,0.531545563412157,"0.7052"
"头皮血流","Scalp blood flow","Scalp microenvironment",30,"T1",241.506114748708,186.806570574454,54.6995441742542,1.2949612390905,0.803406990029169,1.78651548815183,"<0.0001"
"头皮硬度","Scalp stiffness","Scalp microenvironment",30,"T1",-19.5150110938811,-23.203414966302,3.68840387242095,0.937481042415533,0.467469671641265,1.4074924131898,"0.0001"
"油脂分泌","Sebum secretion","Scalp microenvironment",30,"T1",-95.7052766825377,-140.792992130869,45.087715448331,2.91696196682125,2.26969428015612,3.56422965348638,"<0.0001"
"毛发密度","Hair density","Hair-growth endpoints",90,"T3",172.307950013107,160.813157781371,11.4947922317364,0.246851925864998,-0.200003479373396,0.693707331103391,"0.0413"
"毛发直径","Hair shaft diameter","Hair-growth endpoints",90,"T3",65.7911512317896,63.1853018177808,2.60584941400884,0.159602796821788,-0.286221443640578,0.605427037284155,"0.485"
"头皮血流","Scalp blood flow","Scalp microenvironment",90,"T3",309.808389386122,192.589824921059,117.218564465063,2.12458785350682,1.56310448487789,2.68607122213574,"<0.0001"
"头皮硬度","Scalp stiffness","Scalp microenvironment",90,"T3",-14.8922167478398,-24.2960498133994,9.40383306555965,1.92168269105016,1.37950851459964,2.46385686750068,"<0.0001"
"油脂分泌","Sebum secretion","Scalp microenvironment",90,"T3",-98.6021136634437,-138.700920102942,40.0988064394981,2.44082452993784,1.84690646944144,3.03474259043424,"<0.0001"
"毛发密度","Hair density","Hair-growth endpoints",180,"T6",170.704767267927,158.279952615841,12.4248146520858,0.228563156683939,-0.218039648396582,0.67516596176446,"0.05"
"毛发直径","Hair shaft diameter","Hair-growth endpoints",180,"T6",66.3205481581344,62.8104818192837,3.51006633885078,0.242410381904448,-0.204381904376935,0.68920266818583,"0.2915"
"头皮血流","Scalp blood flow","Scalp microenvironment",180,"T6",292.495271103037,188.498873330278,103.996397772759,2.04586923621505,1.49202615222889,2.59971232020122,"<0.0001"
"头皮硬度","Scalp stiffness","Scalp microenvironment",180,"T6",-16.7107403716649,-24.1078962393726,7.39715586770775,1.47371582440327,0.969263710893027,1.97816793791351,"<0.0001"
"油脂分泌","Sebum secretion","Scalp microenvironment",180,"T6",-129.799910852308,-145.000020684942,15.2001098326343,0.713911746771826,0.254208108213993,1.17361538532966,"0.0024"
